ETIQUETA (CLAVE DE INVENTARIO,DESCRIPCION,MARCA,MODELO,SERIE,TIPO,ESTADO FISICO,RESPONSABLE DEL AREA,DEPARTAMENTO:,OBSERVACIÓN  ,PISO,DIRECTOR,ADMINISTRADOR,FECHA DE INGRESO AL AREA
FARM03,COMPUTADORA AIO,HP,20-C216LS,8CC71903BB,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
AR303-5004068,TELEFONO CISCO,CISCO,CP-3905,FCH16069CHR,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118617,IMPRESORA,SAMSUNG,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13159,SILLA VERDE CON DESCANSABRAZOS,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87401,SILLA VERDE CON DESCANSABRAZOS,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13352,BOTE PARA BASURA CON PEDAL,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11436,BANCO DE ALTURA,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87422,SILLA VERDE,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
FARM04,SILLA VERDE AJUSTABLE CON DESCANSABRAZOS,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11435,ESCRITORIO EN L CAFÉ,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123203,SILLA VERDE AJUSTABLE CON DESCANSABRAZOS,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
128992,DIABLITO ROJO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
FARM05,MINISPLIT,MIRAGE,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
FARM06,BOTE PARA BASURA MADERA,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
FARM07,BOTE PARA BASURA PLASTICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86360,GAVETA ,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123232,SILLA AJUSTABLE CON DESCANSA BRAZOS,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123262,IMPRESORA GRIS,SAMSUNG,M4072FD,ZELPDJEJA001GMA,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13071,REPISA CAFÉ,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87308,REGULADOR NEGRO,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
JEF01,CAJONERA GRIS 4 CAJONES,,,,,B(COMO DATO),L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,COMO DATO,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
AR303-5004011,TELEFONO CISCO,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11993,TELEFONO BLANCO,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13062,ESCRITORIO,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13060,CAJONERA 3 CAJONES,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
JEF02,COMPUTADORA NEGRA,LENOVO,,,,B(COMO DATO),L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,COMO DATO,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
JEF03,CAJONERA 3 CAJONES COLOR CAOBA,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
JEF04,SILLA NEGRA CON DESCANSA BRAZOS,,,,,B(COMO DATO),L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,COMO DATO,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
JEF04,BOTE PARA BASURA DE PEDAL,,,,,B,L.E.GRISEIRA BETZABE HERNANDEZ MURGUIA,JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13079,CAJONERA COLOR BEIGE 3 CAJONES,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
130173,CAJONERA COLOR CAOBA 3 CAJONES,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
84055,REPRODUCTOR DVD,SONY,DVR-SR115,2244252,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13472,SILLA VERDE FIJA CON DESCANSA BRAZOS,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118786,IMPRESORA GRIS CON NEGRO,SAMSUNG,XPRESS-M2020,CNB2L8PM28,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,,PENDIENTE UBICARLA,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118690,ESCRITORIO COLOR CAOBA,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11626,ESCRITORIO PARA COMPUTADORA,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ADMI-01,EQUIPO DE COMPUTO,HP,20-C401Ia,8CC9034MQH,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ADMI-02,ESCRITORIO COLOR CAOBA,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11411,EQUIPO DE COMPUTO,LG,19M38A,601NTLE11736,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ADMI-03,SILLA VERDE,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
AR303-5004130,TELEFONO CISCO,CISCO,,FCH16051HFS,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ADMI-04,REGULADOR NEGRO,XPOWER,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123233,SILLA SECRETARIAL COLOR VERDE,,,,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ADMI-05,IMPRESORA MULTIFUNCIONAL,BROTHER,DCP-L5650DN,U64197J1N725841,,B,ING. CLAUDIA ISABEL ALVARADO RENTERIA,ADMISION,DONACION,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86254,ESCRITORIO EN L COLOR CAOBA,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
61617,COMPUTADORA,HP,TFT185W80PS,MXL1140WQZ,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
67631,IMPRESORA,HP,0I5B-0906-00,CHG9C4GIC5,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86388,SILLA NEGRA CON DESCANSA BRAZOS,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
129026,REGULADOR,XPOWER,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
67872,ARCHIVERO 4 CAJONES,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
46878,SILLA VERDE FIJA CON DESCANSA BRAZOS,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
TRASOC01,BOTE DE BASURA PLASTICO,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118684,LAVABO,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11488,ESCRITORIO EN L,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
61623,COMPUTADORA,GATAWAY,HXI853L,MMC34AA0013277B5FC4200,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118619,IMPRESORA,SAMSUNG,XPRESM2070,06YBB8KF4E000MT,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123235,SILLA VERDE GIRATORIA,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
91611,REGULADOR,VICA,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118800,ARCHIVERO 3 CAJONES COLOR CAOBA,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123201,SILLA VERDE SECRETARIAL CON DESCANSA BRAZOS,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
CECAN0030,IMPRESORA,SAMSUNG,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11394,ESCRITORIO EN L,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120556,COMPUTADORA,HP,7265NGWAN,MXL.72329H7,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118686,BOTE PARA BASURA MADERA CAOBA,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118683,BOTE PARA BASURA MADERA NEGRO,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
TRASOC02,REGULADOR,COMPLET,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
TRASOC03,DESPACHADOR DE AGUA,GENERAL ELECTRIC,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11875,SILLA VERDE FIJA,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11422,LIBRERO 5 ENTREPAÑOS,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
129042,REGULADOR,XPOWER,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13046,TELEFONO BLANCO,PANASONIC,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118798,SILLA VERDE GIRATORIA,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118799,ESCRITORIO COLOR CAOBA,,,,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
12907,COMPUTADORA,HP,21-B0013la,1CZ1220DJ0,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
AR303-5004129,TELEFONO CISCO,CISCO,CP-3905,FCH16069B23,,B,MARIA GRACIELA CASTRO PEREZ,TRABAJO SOCIAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87391,CAMA ELECTROMECANICA,STRYKER,FL28C,,,B,VIOLETA GARCIA BUSTAMANTE,ATENCION CONTINUA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87393,CAMA MECANICA,STRYKER,,,,B,VIOLETA GARCIA BUSTAMANTE,ATENCION CONTINUA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ATCONT01,SILLA VERDE,,,,,B,VIOLETA GARCIA BUSTAMANTE,ATENCION CONTINUA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11886,SILLA VERDE,,,,,B,VIOLETA GARCIA BUSTAMANTE,ATENCION CONTINUA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ATCON02,TRIPIE,,,,,B,VIOLETA GARCIA BUSTAMANTE,ATENCION CONTINUA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ATCON03,TRIPIE,,,,,B,VIOLETA GARCIA BUSTAMANTE,ATENCION CONTINUA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
ATCON04,TRIPIE,,,,,B,VIOLETA GARCIA BUSTAMANTE,ATENCION CONTINUA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
